Customer Name,Review Title,Rating,Comment,Combined_Text,Sentiment_Score_Text,Rating_Numeric,Rating_Normalized,Sentiment_Score,Sentiment
Priya singh,Wonderful,5,Amazing !!! I didn't think it would be so beautiful and size is really big....just go for it,wonderful amazing     i didn t think it would be so beautiful and size is really big    just go for it,0.9259,5.0,1.0,0.9481299999999999,Positive
Flipkart Customer,Terrific,5,Just amazing :thumbs_up:,terrific just amazing :thumbs_up:,0.7845,5.0,1.0,0.8491499999999998,Positive
Flipkart Customer,Worth every penny,5,Its really nice  with elegant look,worth every penny its really nice  with elegant look,0.8104,5.0,1.0,0.86728,Positive
Kimi debbarma,Terrific purchase,5,Loved it,terrific purchase loved it,0.7906,5.0,1.0,0.8534199999999998,Positive
Flipkart Customer,Excellent,5,"Wow,its owsome,same as it is as pictures,thank you flipkart",excellent wow its owsome same as it is as pictures thank you flipkart,0.875,5.0,1.0,0.9124999999999999,Positive
Arshia Sulthana,Just wow!,5,Super quality go for it guys,just wow  super quality go for it guys,0.8271,5.0,1.0,0.8789699999999998,Positive
Sunita M,Simply awesome,5,No words..just wow wow and wow. Thanku thanku  seller and flipkart for an amazing product. I was looking for this since so long and bought from other website I was shocked with the bad quality and high price...bit in flipkart I found the exact one. Ho for it without any doubt.,simply awesome no words  just wow wow and wow  thanku thanku  seller and flipkart for an amazing product  i was looking for this since so long and bought from other website i was shocked with the bad quality and high price   bit in flipkart i found the exact one  ho for it without any doubt ,0.9372,5.0,1.0,0.95604,Positive
Flipkart Customer,Wonderful,5,Nice product. I writing this review after using it for 14 months. Worth it.,wonderful nice product  i writing this review after using it for 14 months  worth it ,0.8126,5.0,1.0,0.8688199999999999,Positive
shubham yogekar,Terrific,5,Amazing product it is beyond my expectations.,terrific amazing product it is beyond my expectations ,0.7845,5.0,1.0,0.8491499999999998,Positive
Flipkart Customer,Great product,5,Awesome product,great product awesome product,0.8481,5.0,1.0,0.89367,Positive
Amar Singh,ok ok,3,"ok quality, product dirty",ok ok ok quality  product dirty,0.4019,3.0,0.0,0.28132999999999997,Positive
Flipkart Customer,Must buy!,5,Excellent product.. Big in size.. Good quality,must buy  excellent product   big in size   good quality,0.765,5.0,1.0,0.8354999999999999,Positive
Chandika Sarma Mech ,Wonderful,5,Excellent :OK_hand:...loved it.,wonderful excellent :ok_hand:   loved it ,0.9062,5.0,1.0,0.93434,Positive
Flipkart Customer,Terrific purchase,5,"It's worth the money, looks exactly like the picture",terrific purchase it s worth the money  looks exactly like the picture,0.7579,5.0,1.0,0.83053,Positive
Kiran  Jacob,Good choice,4,Worth the price,good choice worth the price,0.5859,4.0,0.5,0.5601299999999999,Positive
Janal Gadhavi,Awesome,5,Osm by again laterSo nice :thumbs_up:,awesome osm by again laterso nice :thumbs_up:,0.7845,5.0,1.0,0.8491499999999998,Positive
Shweta Singh,Great product,5,Perfect,great product perfect,0.8316,5.0,1.0,0.88212,Positive
Flipkart Customer,Wonderful,5,Go for it...just loved it...,wonderful go for it   just loved it   ,0.8225,5.0,1.0,0.87575,Positive
