Customer Name,Review Title,Rating,Comment,Combined_Text,Sentiment_Score_Text,Rating_Numeric,Rating_Normalized,Sentiment_Score,Sentiment
saf muhammad,Awesome,5,"Sound drum v/s Boat rugbyLoudness: Tie - both are equally loud.Clarity: Rugby is crisp & rich in bass. Sound drum is perfectly balanced and high in bass. No distortion whatsoever in Sound drum.SD is winner.Bass: Rugby has thunderous bass. Sound drum has concentrated bass which you can feel easily.SD is winner.Size: Sound drum is very compact and portable. Extra bucks is worth for it's size. Rugby is heavy and less portable.SD is winner.Build: Both are equally rigid and robust in design.Tie.Design: Rugby is covered with metal mesh & rubberized along the edge. Sound drum is covered with fabric on the outer & plastic inside. SD has 360 surround but rugby lacks.SD is winner.Connectivity: Rugby has mic calling and aux while SD has mic calling, aux , pendrive and FM radio.SD is winner.Hit like if this helps you decide which one to go for.",awesome sound drum v s boat rugbyloudness: tie   both are equally loud clarity: rugby is crisp   rich in bass  sound drum is perfectly balanced and high in bass  no distortion whatsoever in sound drum sd is winner bass: rugby has thunderous bass  sound drum has concentrated bass which you can feel easily sd is winner size: sound drum is very compact and portable  extra bucks is worth for it s size  rugby is heavy and less portable sd is winner build: both are equally rigid and robust in design tie design: rugby is covered with metal mesh   rubberized along the edge  sound drum is covered with fabric on the outer   plastic inside  sd has 360 surround but rugby lacks sd is winner connectivity: rugby has mic calling and aux while sd has mic calling  aux   pendrive and fm radio sd is winner hit like if this helps you decide which one to go for ,0.9867,5.0,1.0,0.9906900000000001,Positive
Dipankar  Das,Mind-blowing purchase,5,Excellent product!!Value for money..,mind blowing purchase excellent product  value for money  ,0.7269,5.0,1.0,0.8088299999999999,Positive
Flipkart Customer,Great product,5,This is way more better than jbl and boat speakers. Awsm :red_heart:,great product this is way more better than jbl and boat speakers  awsm :red_heart:,0.807,5.0,1.0,0.8649,Positive
ASHIK S,Worth the money,4,One of the best Bluetooth speaker at this range. Bought this speaker after doing intensive research and going through reviews on YouTube. I love this product go ahead buy it.,worth the money one of the best bluetooth speaker at this range  bought this speaker after doing intensive research and going through reviews on youtube  i love this product go ahead buy it ,0.8834,4.0,0.5,0.76838,Positive
Rinku Bora,Brilliant,5,Good Product & nice sound clarity....Good Bass..Buy it.,brilliant good product   nice sound clarity    good bass  buy it ,0.9337,5.0,1.0,0.9535899999999999,Positive
Hoshiyar Yadav,Perfect product!,5,"If you are looking for a speaker which is compact and have mind blowing bass and too clear sound reproduction, I suggest you to blindly go for this.I have used Soundbot SB571, but they are not water/dust proof and stand nowhere in terms of bass.Pros-1. Clarity and Purity of Sound2. Good balance between bass and treble3. Whenever required produces awesome bass4. Water and Dust proof5. Too compact and light weight6. Almost all type of ports available for connectivity, more than any other product7. Battery life is more than what they are claiming",perfect product  if you are looking for a speaker which is compact and have mind blowing bass and too clear sound reproduction  i suggest you to blindly go for this i have used soundbot sb571  but they are not water dust proof and stand nowhere in terms of bass pros 1  clarity and purity of sound2  good balance between bass and treble3  whenever required produces awesome bass4  water and dust proof5  too compact and light weight6  almost all type of ports available for connectivity  more than any other product7  battery life is more than what they are claiming,0.9531,5.0,1.0,0.9671699999999999,Positive
Flipkart Customer,Must buy!,5,What on earth can you expect more than this...!!This is an amazing speaker with great bass !!If ur searching for something that could shake the earth:face_with_tears_of_joy:I think this is the right product ..just go for it !!I promise u won't regret...,must buy  what on earth can you expect more than this     this is an amazing speaker with great bass   if ur searching for something that could shake the earth:face_with_tears_of_joy:i think this is the right product   just go for it   i promise u won t regret   ,0.886,5.0,1.0,0.9201999999999999,Positive
Pawan Kumar,Worth every penny,5,1. Good Sound Quality2. Battery Backup very good3. It has very decent sound quality and amazing bass quality4. The Design is also very good.,worth every penny 1  good sound quality2  battery backup very good3  it has very decent sound quality and amazing bass quality4  the design is also very good ,0.8885,5.0,1.0,0.9219499999999998,Positive
Sambit Sahu,Must buy!,5,"Simply AmazingThis product from portronics boosted my heart and mind with fun and excitement. To be very true, sound drum has that perfect thump in playback. It will surely take your hearts away with its amazing performance.Built Quality, Accessibility Features, Sound Functionality every thing justifies the word excellence.I am personally happy and satisfied with the output of this product.Boom Boom Sound Drum.Hail Portronics.",must buy  simply amazingthis product from portronics boosted my heart and mind with fun and excitement  to be very true  sound drum has that perfect thump in playback  it will surely take your hearts away with its amazing performance built quality  accessibility features  sound functionality every thing justifies the word excellence i am personally happy and satisfied with the output of this product boom boom sound drum hail portronics ,0.9866,5.0,1.0,0.9906200000000001,Positive
AAKASH DEV,Terrific purchase,5,Whoever is reading this review.... Just listen.. this speaker is just Damn Gooood!! I'm really stunned by seeing it's size and the quality of sound it produces.... The bass is very good and the vocals are damn clear... It feels so soft to plays songs on it.... This is a must buy product....,terrific purchase whoever is reading this review     just listen   this speaker is just damn gooood   i m really stunned by seeing it s size and the quality of sound it produces     the bass is very good and the vocals are damn clear    it feels so soft to plays songs on it     this is a must buy product    ,0.6204,5.0,1.0,0.7342799999999999,Positive
Prasanth  Degapudi,Mind-blowing purchase,5,Superb Bass and vocal at high volume also.. I recommended this.. :thumbs_up:,mind blowing purchase superb bass and vocal at high volume also   i recommended this   :thumbs_up:,0.7096,5.0,1.0,0.79672,Positive
Shivam Kumar,Best in the market!,5,nice design & stereo sound is also good but bass is not too good as I expected.,best in the market  nice design   stereo sound is also good but bass is not too good as i expected ,0.8519,5.0,1.0,0.8963299999999998,Positive
Vintee Sharma,Must buy!,5,It's  really  a nice product and controls the bass and all very carefully,must buy  it s  really  a nice product and controls the bass and all very carefully,0.5975,5.0,1.0,0.71825,Positive
Abhishek Gupta,Super!,5,"If you want compact, portable and loud speaker with multiple connectivity options along with the radio , just goo for it.Pros--Clear sound even at full volume with very minimum or no distortion.-bass is really good-compact and portable- battery back up with 80% volume is more than 8hrs.- Great valve for money @1599/-Cons-- WATER RESISTANT BUT NOT WATER PROOF- FM RADIO TOWER IS NOT MUCH CAPABLE (you have to be in good signal range of fm frequencies)- 2.5-3 hours for full charge- no strap for carrying purposes",super  if you want compact  portable and loud speaker with multiple connectivity options along with the radio   just goo for it pros  clear sound even at full volume with very minimum or no distortion  bass is really good compact and portable  battery back up with 80  volume is more than 8hrs   great valve for money  1599  cons   water resistant but not water proof  fm radio tower is not much capable  you have to be in good signal range of fm frequencies   2 5 3 hours for full charge  no strap for carrying purposes,0.697,5.0,1.0,0.7878999999999999,Positive
Aniket  Kumar,Terrific purchase,5,Just Awesome,terrific purchase just awesome,0.802,5.0,1.0,0.8613999999999999,Positive
Mukesh  Chauhan ,Fabulous!,5,This drum is so good that I can't explain this is really terrific  the sound and bass is just like a big Blaster this is my true experience with portronics I also have posh 2 but this is amazing,fabulous  this drum is so good that i can t explain this is really terrific  the sound and bass is just like a big blaster this is my true experience with portronics i also have posh 2 but this is amazing,0.9276,5.0,1.0,0.9493199999999999,Positive
